2010,tt0780653,The Wolfman,Joe Johnston,17313,1020,682,1813,3424,4140,2870,1500,856,492,516,110815,3499,2.3,53,137,166,222,118,88,27,2.9,0,3,2,1,0,0,189,3.5,6,5,7,5,5,5,142,2.7,0,5,11,2,3,1,288,3.4,4,28,14,42,10,2,0,0,0,0,0
2013,tt0790736,R.I.P.D.,Robert Schwentke,11639,463,300,857,1914,2798,2320,1214,779,463,531,184468,2788,2.4,8,49,136,105,69,23,53,2.4,0,0,3,0,0,0,245,3.5,3,3,8,8,3,1,168,2.9,0,2,3,6,2,0,33,3.2,0,0,4,4,0,0,0,0,0,0,0
2013,tt0795461,Scary Movie 5,Malcolm D. Lee,5060,260,67,121,213,395,551,706,753,691,1303,112361,0,0,0,0,0,0,0,0,63,2.4,0,1,0,1,1,4,543,3.2,8,2,9,13,15,18,145,2.8,3,3,5,1,6,4,43,3,2,1,0,5,1,2,17,8,6,25,10
2011,tt0800369,Thor,Kenneth Branagh,73771,7642,8416,18642,21163,10066,4059,1688,787,494,814,129477,17011,3.5,256,534,651,347,160,94,442,3.4,8,24,19,14,9,1,1745,4.3,23,24,18,11,4,2,912,3.9,3,17,18,4,1,1,395,3.8,7,22,18,19,6,2,133,72,39,13,24
2011,tt0803061,Red Dog,Kriv Stenders,861,132,123,211,178,89,54,20,10,11,33,189961,127,4.1,11,6,3,1,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,tt0804509,La mula,Michael Radford,17,3,0,1,0,2,5,4,1,1,0,206708,6,3.3,0,0,0,0,0,0,25,3.1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,6,3.3,0,0,0,0,0,0,0,0,0,0,0
2011,tt0810913,Jack and Jill,Dennis Dugan,9876,539,158,341,510,737,1022,990,1031,1145,3403,106905,697,1.4,5,5,11,17,41,53,50,2.5,1,0,1,1,3,1,422,2.4,4,2,11,11,4,13,143,2.1,3,0,4,3,7,6,37,2.6,0,1,3,4,3,1,36,13,41,21,21
2011,tt0810922,Take Me Home Tonight,Michael Dowse,10633,844,575,1564,2792,2415,1186,585,265,189,218,181137,508,2.7,2,5,25,24,7,3,0,0,0,0,0,0,0,0,49,3.4,2,4,1,0,0,1,14,2.7,0,0,0,0,0,0,10,3.3,1,0,1,0,0,0,0,0,0,0,0
2010,tt0815236,She's Out of My League,Jim Field Smith,19909,1490,1375,3299,5813,4253,1916,809,383,224,347,132095,975,2.8,12,27,50,40,9,10,7,3.2,0,0,0,0,0,0,191,4.2,10,6,3,4,0,0,121,3.4,0,5,6,1,1,0,87,3.5,2,3,2,5,0,0,0,0,0,0,0
2013,tt0816442,The Book Thief,Brian Percival,8469,1400,1442,2439,1652,814,346,154,82,34,106,204237,1335,4.1,48,70,36,17,6,6,265,3.9,8,11,15,5,2,0,2201,4.6,96,66,41,16,2,2,48,3.8,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
