2012,tt1520498,"The Oogieloves in the Big Balloon Adventure",Matthew Diamond,845,137,38,8,9,11,9,13,17,38,565,203152,1,2.9,0,0,0,0,0,0,1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,4067243,0,0,0,0,0,
2010,tt1520956,"Iron Doors",Stephen Manuel,132,8,3,6,7,12,26,20,25,10,15,190010,87,2,2,6,5,13,9,9,3,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.7,0,0,0,0,0,0,23,2.6,0,0,1,1,2,0,0,0,0,0,0,5163094,46,126,302,262,120,
2010,tt1521848,"Potiche",François Ozon,660,36,43,124,185,131,79,29,9,8,16,172873,5186,3,82,220,288,193,95,65,10,3.3,1,0,0,1,0,0,17,3.2,0,1,0,0,1,0,47,3,0,3,1,0,0,1,29,2.8,0,0,0,1,0,0,0,0,0,0,0,4097454,122,587,523,53,10,
2010,tt1522296,"Snowman's Land",Tomasz Thomson,121,8,11,17,20,28,16,9,5,2,5,181424,3,3,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5162920,0,1,1,0,0,
2010,tt1523267,"Arctic Blast",Brian Trenchard-Smith,364,24,4,12,26,42,57,68,50,38,43,181643,28,2.2,0,3,2,1,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4074745,1,2,42,55,18,
2010,tt1523483,"Kaboom",Gregg Araki,1810,156,88,211,338,314,232,171,108,72,120,173662,3565,3,77,150,140,91,84,90,0,0,0,0,0,0,0,0,12,2.8,0,0,0,1,1,0,9,3.1,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,4082227,70,232,606,323,117,
2010,tt1523485,"Kill Katie Malone",Carlos Ramos Jr.,375,30,5,15,27,41,67,70,55,38,27,196447,34,2.2,0,1,2,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4082241,0,0,8,12,7,
2011,tt1524565,"Nos résistances",Romain Cogitore,2,0,0,0,0,0,0,0,0,1,1,175612,54,3.6,9,4,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4412470,0,0,0,0,0,
2011,tt1525346,"El premio",Paula Markovitch,20,0,1,6,5,1,3,2,0,0,2,189615,21,3,0,2,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4082132,3,12,11,2,0,
2011,tt1527186,"Melancholia",Lars von Trier,17166,1947,3373,3367,2995,1815,1189,705,503,444,828,173873,5445,3.4,235,264,169,125,144,148,70,3.8,1,2,2,3,0,0,248,3.6,13,11,5,1,3,8,172,3.9,5,5,3,2,1,0,49,3.2,1,3,2,2,1,1,0,0,0,0,0,4086853,2135,5273,6163,2070,550,
