tt1822255,16,14,33,37,31,7,4,2,2,3,
tt1844735,3,2,2,3,6,3,3,3,1,1,
tt1527186,1947,3373,3367,2995,1815,1189,705,503,444,828,
tt2231389,1,1,1,2,1,3,0,0,1,1,
tt1330229,17,5,3,14,10,11,7,3,5,5,
tt1504019,4,0,1,7,7,5,4,0,0,2,
tt1582225,0,0,0,0,0,0,1,0,0,1,
tt1568863,0,1,1,2,1,1,1,0,0,1,
tt1655416,73,56,108,122,149,57,48,15,19,27,
tt1728979,4,2,4,7,6,13,24,18,18,32,
tt2634394,2,1,1,4,3,3,2,2,1,3,
tt1461249,41,8,31,47,55,51,35,20,13,19,
tt1845838,51,71,119,83,21,16,5,2,2,8,
tt2649128,21,7,11,34,23,10,5,3,6,7,
tt2180473,8,1,1,1,1,5,2,1,2,4,
tt1906426,25,33,128,126,60,24,26,9,9,20,
tt1684913,6,4,1,5,2,2,2,0,1,1,
tt1068961,34,22,63,63,64,46,17,6,7,19,
tt1605783,5941,8361,12110,7255,3080,1277,632,367,279,510,
tt2011130,0,3,1,2,2,1,1,0,0,2,
tt2357461,7,4,16,23,9,7,2,3,3,10,
tt1437358,79,113,322,364,168,78,24,16,10,40,
tt1825703,0,0,0,2,1,0,2,0,1,0,
tt1654054,0,0,0,0,1,1,1,2,0,1,
tt0443331,13,2,3,5,9,11,13,13,9,12,
tt2956858,0,0,0,0,0,0,0,0,0,2,
tt2495212,0,2,3,1,2,5,1,1,1,1,
tt1720164,39,17,31,30,36,48,51,29,25,28,
tt2493386,1,0,0,0,0,2,1,2,1,0,
tt1717170,0,0,0,0,0,1,1,0,0,1,
tt1366409,115,41,60,66,83,43,28,15,15,63,
tt1843986,4,3,8,6,3,1,0,0,1,1,
tt1989571,1,1,1,0,1,1,1,0,1,2,
tt2872810,9,5,16,21,36,58,32,19,13,19,
tt1911600,62,84,180,277,179,108,37,23,11,65,
tt1629715,11,62,87,31,18,10,7,3,4,3,
tt1612769,1,0,0,1,1,0,1,0,0,1,
tt1229238,4423,6793,15212,13034,4991,1714,677,320,200,552,
tt2488740,0,1,1,2,3,4,1,0,1,1,
tt1236371,84,88,113,87,39,27,21,17,10,12,
tt1301308,5,10,8,13,9,15,2,0,5,3,
tt2112204,1,1,3,2,7,0,2,0,2,0,
tt2251519,2,0,1,2,0,2,0,0,0,2,
tt2643394,5,3,3,6,2,0,1,1,1,0,
tt1706450,36,10,5,11,6,6,1,3,1,13,
tt2170509,1,0,0,0,0,1,1,1,2,3,
tt1853614,26,33,75,94,37,13,8,1,3,12,
tt2085869,0,0,0,0,0,0,0,0,0,1,
tt1718835,2,5,15,36,38,20,12,6,3,2,
tt1688070,1,0,1,3,3,1,1,0,1,3,
tt1773578,0,1,0,0,2,1,0,1,1,1,
tt3062242,0,1,0,0,4,1,1,0,1,0,
tt1210166,4596,9231,18234,12017,3777,1148,442,250,142,411,
tt2112206,8,7,4,8,7,5,0,0,1,3,
tt2049505,0,0,0,0,0,1,1,0,1,1,
tt1502714,21,11,22,28,46,43,43,22,8,15,
tt2011971,154,284,539,382,119,45,20,7,6,27,
