2013,tt2327191,7.6,302,Abstraction
2013,tt2418372,5.8,399,Abus de faiblesse
2013,tt2836202,5.6,433,Oltre il guado
2013,tt2303112,5.6,182,Act Like You Love Me
2013,tt2370244,4.1,47,Action
2013,tt3336632,5,12,Actores S.A.
2013,tt3095070,6.9,52,Actors Studio
2013,tt2800318,6.4,25,Acá adentro
2013,tt2829176,7.6,10,Ada apa dengan Rina
2013,tt2797672,5.9,35,Adda
2013,tt2191605,6.5,13,Addict
2013,tt2609060,7.7,20,Addictions
2013,tt2094990,6.1,96,Adieu Paris
2013,tt3360148,7.8,25,Adios Carmen
2013,tt1814621,5.7,24997,Admission
2013,tt2103267,6.2,18581,Perfect Mothers
2013,tt2565280,6.3,252,Adormidera
2013,tt2339339,7.7,56,Adria Blues
2013,tt1067765,6.1,8937,Adult World
2013,tt2457258,7,27,Adventures of Bailey: A Night in Cowtown
2013,tt2854990,4.8,21,Aeon: The Last Vampyre on Earth
2013,tt2309961,6.3,11825,Afflicted
2013,tt2258042,6.5,29,Afrik'aïoli
2013,tt1670387,4.9,57,After Dark
2013,tt1815862,5,139613,After Earth
2013,tt1622566,3.9,253,After Effect
2013,tt2920656,4.7,21,After Life
2013,tt1928340,5.7,12815,After the Dark
2013,tt2861830,5.9,75,Até Ver a Luz
2013,tt0490075,7.5,88,Aftermath
2013,tt2312890,5.8,5907,Afternoon Delight
2013,tt2190030,6.3,51,Afterparty
2013,tt2144007,3.8,392,Afterparty
2013,tt2518926,2.9,1341,Age of Dinosaurs
2013,tt2846996,6.5,201,La bataille de Solférino
2013,tt2054790,6.2,4123,Age of Uprising: The Legend of Michael Kohlhaas
2013,tt3211574,7.8,30,Agnes
2013,tt2910300,6.2,117,Ah Boys to Men II
2013,tt2228884,5.8,17,Aibou shirîzu: X Day
2013,tt2388637,6.4,13105,Ain't Them Bodies Saints
2013,tt2192900,5.8,207,Ainoat oikeat
2013,tt3114346,5.4,207,Ainthu Ainthu Ainthu
2013,tt2773628,5,31,Air terjun pengantin phuket
2013,tt2194998,5.3,20,Ajomies
2013,tt2423132,5.9,847,Akaash Vani
2013,tt2654066,3.8,246,Akalyptos
2013,tt3353132,4.2,15,Al Ashash
2013,tt2757228,6.5,37,Al Hafla
2013,tt2460348,5.1,144,Al final todos mueren
2013,tt0469021,7,20376,Alan Partridge: Alpha Papa
2013,tt3322778,7.8,37,Alegrías de Cádiz
2013,tt2778268,5.1,13,Aleister Crowley: Legend of the Beast
2013,tt2215515,4.9,259,Aleksandr's Price
2013,tt2614032,2,507,Alex Pandian
2013,tt2498340,7.9,24,Algonquin
2013,tt3328374,7.1,18,Algunos días sin música
2013,tt2806926,4.2,13,Alias Janiki
2013,tt2393711,5.8,12,Alien Protocol
2013,tt1737796,3.9,117,Alien Rising
2013,tt2349142,2,235,Alien Showdown: The Day the Old West Stood Still
2013,tt1326190,6.7,12,Aliens: Zone-X
2013,tt3584732,7.5,37,Alik Sukh - A tale of fleeting happiness
2013,tt3142224,6.5,84,Por las plumas
2013,tt2110388,4.9,125,All American Christmas Carol
2013,tt2527186,5.2,4172,All Cheerleaders Die
2013,tt2900624,4.6,1651,All Hallows' Eve
2013,tt3210602,5.4,132,All I Want for Christmas
2013,tt1462901,5.6,3830,All Is Bright
2013,tt2017038,6.9,49554,All Is Lost
2013,tt2265640,7.4,14,All Roads Lead
2013,tt2452384,6.2,79,All That I Am
2013,tt2095568,4.3,970,All Things to All Men
2013,tt1739155,6.8,36,All Together Now
2013,tt2188655,6,805,All for Two
2013,tt3253476,2.5,346,All in All Azhagu Raja
2013,tt2758408,7,22,All or Nothing
2013,tt1568799,6.2,340,All the Wrong Reasons
2013,tt3133806,7.4,54,Alles over niets
2013,tt2797126,3.6,10,Allá y en Tonces
2013,tt2325517,4.7,1773,Almost Human
2013,tt1986769,3.8,365,Alone Yet Not Alone
2013,tt2616010,5.6,76,Sola contigo
2013,tt2290113,7.2,243,Along the Roadside
2013,tt2121250,5.9,63,Alpha
2013,tt2363181,4.8,831,Alpha Alert
2013,tt2178927,3.3,262,Alpha Girls
2013,tt2490860,7.4,12,Always Learning
2013,tt2922690,5.6,64,Am Hang
2013,tt1705099,5,13,Amaro amore
2013,tt3457380,4.3,16,Shen qi
2013,tt1240899,6.4,475,Amazonia
2013,tt3273632,4.8,200,Ambassada
2013,tt2497808,3.8,961,Ambushed
2013,tt1845774,4.8,74,Amelia's 25th
2013,tt2786278,7.6,1008,Amen
2013,tt1721672,4.2,245,AmeriQua
2013,tt2330458,6.6,55,America's Most Haunted
2013,tt1778906,6.5,46,American Backwoods: Slew Hampshire
2013,tt2839312,3.9,232,American Brawler
2013,tt1845775,8.3,18,American Cliche
2013,tt2278392,7.1,1105,American Dreams in China
2013,tt2108465,6.2,22,American Girls
2013,tt1800241,7.3,298274,American Hustle
2013,tt1698651,2.2,572,American Idiots
2013,tt2254364,4.7,257,American Milkshake
2013,tt2360586,6.5,74,American Poltergeist
2013,tt2447918,7.5,11,Americano
2013,tt2933968,5.8,30,Amerikan Holokaust
2013,tt2343371,6.2,414,Amiche da morire
2013,tt3761504,6.4,30,Ammutta muddica al cinema
2013,tt2693114,3.1,82,Amnesiac
2013,tt2650414,6.5,31,"Amor, Plástico e Barulho"
2013,tt3313302,4.6,10,Amores peligrosos
2013,tt2397431,6.3,167,Amsterdam
2013,tt3007924,2.1,191,Amy
2013,tt2599226,2.3,103,An Easter Bunny Puppy
2013,tt2507592,6.8,748,Epizoda u zivotu beraca zeljeza
2013,tt3092086,6,121,Ana Arabia
2013,tt3235148,5.8,44,Yamamori clip koujou no atari
2013,tt1229340,6.4,105522,Anchorman 2: The Legend Continues
2013,tt2094762,4.7,673,And Now a Word from Our Sponsor
2013,tt2317090,6.4,85,And Then There Was You
2013,tt2401579,7.4,45,And Then YOU Die!
2013,tt3379694,6.3,50,Soshite dorobune wa yuku
2013,tt2705606,6.2,33,Andarevia
2013,tt3138730,4,22,Ang huling henya
2013,tt2372294,6.9,20,Kuchizuke
2013,tt3729818,5.5,41,Angel Warriors
2013,tt3160230,4,520,Angel of the Skies
2013,tt2399752,8.1,51,Angel's Perch
2013,tt2949836,5.5,20,Nang fa
2013,tt2325525,3.1,49,Angels Around Me
2013,tt1833888,5.6,1150,Angels Sing
2013,tt2776074,6,704,Angélique
2013,tt3579932,6.7,20,Anima State
2013,tt2464822,6.3,33,Animosity
2013,tt2431576,3,346,Animus
2013,tt1947964,7.5,176,Anina
2013,tt2428824,5,20,Anita e Garibaldi
2013,tt3204904,7.8,28,Ang huling cha-cha ni Anita
2013,tt3614516,8.2,2308,Ankhon Dekhi
2013,tt2912578,6.2,574,Ankur Arora Murder Case
2013,tt1715336,6.4,10185,Anna
2013,tt2648034,7.3,624,Annayum Rasoolum
2013,tt2395139,6.5,24,Annelie
2013,tt2640110,6.4,23,Annum Innum Ennum
2013,tt2691726,3.6,24,Annunciation to a Third Milennium Citizen
2013,tt2323836,7.2,324,Anohana the Movie: The Flower We Saw That Day
2013,tt3266538,8.4,10,Another Chance
2013,tt1977034,6.4,77,L'autre maison
2013,tt1851848,5,205,Another Kind
2013,tt2700582,5.2,119,Une autre vie
2013,tt1816608,4.7,1947,Another Me
2013,tt2713884,7.2,20,Another One Opens
2013,tt3348716,6.6,18,Antaraal
2013,tt2436046,5.4,737,Antboy
2013,tt3139000,6.7,70,Anthaka Mundu Aa Tarvatha
