American Hustle;2013;tt1800241;205330;298274;7.3;28;197;278;173;60;29;1;9;16;8;1;5;15;31;27;22;9;2;5;14;13;7;5;5;2;5;5;6;0;1;
The Purge;2013;tt2184339;201653;108289;5.6;35;120;282;264;148;89;0;3;9;5;2;3;7;13;20;16;3;6;1;4;6;11;8;3;0;2;4;2;1;0;
Pawn Shop Chronicles;2013;tt1741243;192338;7077;5.9;1;7;17;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
Americano;2013;tt2447918;189242;11;7.5;2;5;18;13;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Les âmes de papier;2013;tt2571540;215989;49;5.6;2;10;3;4;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
The Host;2013;tt1517260;173053;79447;5.9;106;177;185;111;76;78;3;4;5;2;0;0;24;18;22;18;10;5;2;5;5;4;3;3;3;0;1;1;0;1;
Amour & turbulences;2013;tt2298384;209664;2058;6.3;36;113;143;53;28;25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;
Caníbal;2013;tt1718747;200213;1774;5.8;0;2;6;0;1;0;1;2;2;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
Ana Arabia;2013;tt3092086;222982;121;6.0;1;3;7;6;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Midnight Stallion;2013;tt2257816;223619;152;4.7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Angélique;2013;tt2776074;209768;704;6.0;22;42;49;29;31;40;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;
Angel of the Skies;2013;tt3160230;222222;520;4.0;1;0;0;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Another Me;2013;tt1816608;224278;1947;4.7;0;0;0;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
