Amazonia;2013;tt1240899;213875;475;6.4;519;3.5;19;28;38;17;7;6;0;0;0;0;0;0;0;0;30;3.6;1;2;1;0;0;0;6;3.1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Amen;2013;tt2786278;196876;1008;7.6;1;3.0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
American Hustle;2013;tt1800241;205330;298274;7.3;6427;3.4;28;197;278;173;60;29;257;3.1;1;9;16;8;1;5;968;4.1;15;31;27;22;9;2;369;3.8;5;14;13;7;5;5;92;3.6;2;5;5;6;0;1;
American Dreams in China;2013;tt2278392;224222;1105;7.1;2;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
The Purge;2013;tt2184339;201653;108289;5.6;5225;2.5;35;120;282;264;148;89;122;2.8;0;3;9;5;2;3;345;3.6;7;13;20;16;3;6;222;2.7;1;4;6;11;8;3;38;3.4;0;2;4;2;1;0;
Pawn Shop Chronicles;2013;tt1741243;192338;7077;5.9;160;3.0;1;7;17;3;3;2;4;3.2;0;0;0;0;0;0;15;3.5;0;0;0;0;0;0;17;3.0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
Americano;2013;tt2447918;189242;11;7.5;249;2.6;2;5;18;13;8;2;0;0;0;0;0;0;0;0;4;2.9;0;0;0;0;0;0;3;3.1;0;0;0;0;0;0;3;3.1;0;0;0;0;0;0;
Les âmes de papier;2013;tt2571540;215989;49;5.6;165;1.8;2;10;3;4;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
The Host;2013;tt1517260;173053;79447;5.9;4812;3.5;106;177;185;111;76;78;141;3.7;3;4;5;2;0;0;865;4.0;24;18;22;18;10;5;142;3.4;2;5;5;4;3;3;45;3.6;3;0;1;1;0;1;
Amour & turbulences;2013;tt2298384;209664;2058;6.3;2419;3.3;36;113;143;53;28;25;11;3.2;0;0;1;0;0;0;7;3.1;0;0;0;0;0;0;8;2.9;0;0;1;1;0;0;8;3.2;0;0;0;0;0;0;
Caníbal;2013;tt1718747;200213;1774;5.8;35;3.1;0;2;6;0;1;0;37;2.6;1;2;2;2;0;2;0;0;0;0;0;0;0;0;3;3.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Amsterdam;2013;tt2397431;194691;167;6.3;4;3.1;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ana Arabia;2013;tt3092086;222982;121;6.0;79;2.4;1;3;7;6;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Midnight Stallion;2013;tt2257816;223619;152;4.7;3;3.2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Angélique;2013;tt2776074;209768;704;6.0;660;2.6;22;42;49;29;31;40;0;0;0;0;0;0;0;0;4;3.1;0;0;0;0;0;0;6;3.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
Angels Sing;2013;tt1833888;197870;1150;5.6;8;2.7;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Angel of the Skies;2013;tt3160230;222222;520;4.0;22;2.5;1;0;0;2;3;3;0;0;0;0;0;0;0;0;2;3.0;0;0;0;0;0;0;2;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Another Me;2013;tt1816608;224278;1947;4.7;0;0;0;0;0;0;0;0;20;2.6;0;0;1;3;2;0;0;0;0;0;0;0;0;0;6;2.9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
Antboy;2013;tt2436046;223306;737;5.4;66;2.2;0;0;1;8;7;0;5;3.0;0;0;0;0;0;0;19;3.4;0;0;0;0;0;0;9;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Les Apaches;2013;tt2848070;220880;187;5.8;300;2.7;4;10;31;19;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;
