2011,tt1650028,"Wreckers",Dictynna Hood,197230,20,3.3,0,0,1,0,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2010,tt1316622,"Wrecked",Michael Greenspan,177009,316,1.8,2,3,10,24,27,15,4,3,0,0,0,0,0,0,5,3.2,0,1,0,0,0,0,14,2.6,0,0,0,2,0,2,71,2.2,0,2,1,8,7,8,0,0,0,0,0,
2012,tt1772341,"Wreck-It Ralph",Rich Moore,190157,5997,4.1,138,340,208,73,16,6,283,4,5,9,0,5,0,0,1296,4.5,37,36,19,6,2,0,254,4,3,7,8,1,0,0,46,3.9,2,2,4,1,0,0,146,95,36,28,35,
2011,tt1754912,"Wrath",Jonathan Neil Dixon,209728,28,2.2,0,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2010,tt1663956,"Wound",David Blyth,185127,2,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt1999995,"Would You Rather",David Guy Levy,205693,54,3,0,3,3,1,1,0,4,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.8,0,0,1,0,0,0,4,2.9,0,0,1,0,0,0,0,0,0,0,0,
2013,tt0816711,"World War Z",Marc Forster,140631,16934,3.6,192,760,774,417,186,116,552,3.9,12,24,21,7,7,3,2048,4.4,65,89,59,24,13,7,582,3.8,3,22,17,12,4,0,249,4,5,16,14,9,1,1,475,278,246,104,101,
2012,tt1870529,"Won't Back Down",Daniel Barnz,199297,0,0,0,0,0,0,0,0,4,3.1,0,0,0,0,0,0,11,3.4,2,0,0,0,0,0,7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,
2012,tt1996346,"Woman Thou Art Loosed: On the 7th Day",Neema Barnette,196380,1,3.1,0,0,0,0,0,0,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,tt2504404,"Wolf",Jim Taihuttu,223022,80,3.7,4,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
