2010,tt1585558,"Bodyguard",Siddique,,197037,7,3.3,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4058,1213,736,406,854,
2010,tt1578261,"Break Ke Baad",Danish Aslam,,187544,5,3.2,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,294,117,167,144,229,
2013,tt2551378,"Bullett Raja",Tigmanshu Dhulia,,224736,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1338,700,886,470,541,
2011,tt1349451,"Butter",Jim Field Smith,,145615,149,2.3,0,2,10,4,5,1,0,0,0,0,0,0,0,0,21,3.5,1,0,2,0,0,0,11,3.2,0,0,0,0,0,0,5,3.0,0,0,0,0,0,0,,4,1,2,2,0,
2011,tt0458339,"Captain America: The First Avenger",Joe Johnston,,136557,13996,3.4,130,328,541,297,171,108,367,3.3,3,9,15,10,5,2,1495,4.3,19,27,21,5,2,6,583,3.1,2,5,15,7,8,0,160,3.5,2,5,9,11,3,3,,76,44,47,11,11,
2013,tt1535109,"Captain Phillips",Paul Greengrass,,191696,5427,4.3,155,388,148,45,9,4,253,4.1,7,8,6,2,0,0,919,4.4,48,49,19,2,1,0,275,4.1,5,23,5,1,0,0,83,3.8,1,13,6,2,0,0,,126,75,57,30,24,
2011,tt1692486,"Carnage",Roman Polanski,,183445,4211,3.4,45,201,263,93,52,30,119,3.5,1,5,3,0,2,1,136,3.8,2,3,4,2,1,1,418,4.1,8,16,8,4,1,0,29,2.7,0,0,4,5,1,1,,26,37,25,16,19,
2013,tt1939659,"Carrie",Kimberly Peirce,,194194,2472,2.9,37,84,149,111,75,32,89,3.1,1,2,9,2,2,0,1315,4.1,45,28,35,24,7,3,135,2.9,1,3,9,5,9,0,40,3.6,1,2,0,2,0,0,,134,75,97,49,46,
2013,tt2112124,"Chennai Express",Rohit Shetty,,222532,108,4.0,11,4,7,3,0,0,0,0,0,0,0,0,0,0,4,3.2,0,0,0,0,0,0,13,3.3,0,1,0,0,0,1,21,3.8,0,1,1,0,0,0,,9026,3799,3443,1961,2112,
2012,tt1991245,"Chernobyl Diaries",Bradley Parker,,203597,1488,2.1,20,43,82,135,61,62,43,2.3,0,0,3,2,4,1,250,1.9,0,1,11,12,8,8,111,2.4,1,0,3,4,2,4,30,2.3,0,0,0,2,0,1,,0,0,0,0,0,
2012,tt1706593,"Chronicle",Josh Trank,,184617,10830,3.5,134,481,486,231,118,104,130,3.0,1,10,5,5,1,5,220,3.4,0,6,2,2,0,2,306,3.7,2,7,3,6,1,0,69,3.0,0,4,5,5,0,0,,137,78,43,24,17,
2011,tt0816462,"Conan the Barbarian",Marcus Nispel,,28817,2403,1.9,31,34,101,125,125,138,82,2.3,1,6,3,6,8,0,170,2.9,5,2,6,2,2,8,94,2.3,0,1,3,4,4,4,46,2.6,0,2,2,5,2,2,,81,52,52,31,41,
2011,tt1598778,"Contagion",Steven Soderbergh,,178091,7382,2.5,21,144,356,323,162,104,145,2.7,1,10,11,12,7,4,201,3.2,3,6,10,5,5,2,209,3.4,1,8,4,5,3,0,71,2.8,0,0,8,7,1,1,,34,28,37,11,15,
2011,tt1372686,"Coriolanus",Ralph Fiennes,,174367,239,2.4,3,10,14,8,9,8,16,2.6,0,0,1,1,0,0,40,2.9,0,1,2,0,3,0,22,2.8,0,0,1,0,0,0,14,2.9,0,2,0,1,0,0,,28,30,30,37,20,
2010,tt1279935,"Date Night",Shawn Levy,,138726,3521,2.6,46,117,158,161,66,52,31,2.7,0,1,1,1,0,0,239,3.7,3,0,6,8,4,0,170,3.1,3,6,6,5,1,0,148,2.7,6,12,4,4,1,0,,6,11,6,2,1,
2011,tt1934231,"Delhi Belly",Abhinay Deo,,135631,12,3.1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1369,748,349,132,370,
2012,tt1172587,"Delhi Safari",Nikhil Advani,,206781,1,3.0,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,,742,266,148,85,136,
2013,tt2387559,"Delivery Man",Ken Scott,,210939,0,0,0,0,0,0,0,0,23,2.6,0,0,2,2,0,1,179,4.1,4,5,10,2,0,0,24,2.4,0,0,1,1,1,3,13,3.2,1,1,2,2,0,0,,49,15,41,33,24,
2011,tt1985981,"Desi Boyz",Rohit Dhawan,,198504,5,3.2,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1569,684,401,169,295,
2012,tt1853728,"Django Unchained",Quentin Tarantino,,190918,36247,4.5,1958,1661,454,224,86,127,748,4.4,30,37,12,1,0,0,2265,4.6,114,78,11,7,0,7,1571,4.6,47,57,11,10,2,0,260,4.4,18,21,4,0,1,0,,38,45,17,0,8,
2011,tt1564349,"Dolphin Tale",Charles Martin Smith,,184342,416,3.8,19,16,18,10,2,6,23,3.6,1,0,1,2,0,0,49,3.8,1,1,0,1,1,0,31,3.8,1,0,3,0,0,0,0,0,0,0,0,0,0,0,,28,21,15,16,16,
2010,tt1270761,"Don't Be Afraid of the Dark",Troy Nixey,,138449,477,2.4,7,13,24,36,13,12,43,2.2,0,0,4,2,3,3,54,2.8,0,3,2,4,3,2,41,2.7,1,2,0,4,0,0,27,2.6,1,0,0,1,3,0,,50,18,45,31,36,
2012,tt1343727,"Dredd",Pete Travis,,141846,2426,3.4,29,142,163,68,48,19,73,3.5,3,6,0,0,0,1,197,3.9,4,9,6,4,1,0,198,3.7,4,12,9,4,2,0,62,3.3,2,3,3,1,3,0,,91,46,57,32,43,
2011,tt1502404,"Drive Angry",Patrick Lussier,,172052,2327,2.3,32,55,125,117,91,87,29,2.9,0,0,0,2,1,1,137,3.5,3,1,11,3,2,0,157,3.1,5,4,10,5,3,2,149,3.0,1,5,7,13,9,2,,64,26,27,24,15,
2011,tt1618430,"Dum Maaro Dum",Rohan Sippy,,190337,2,3.1,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,350,202,155,63,118,
