tt2357129,922,3281,8762,3866,905
tt1980929,
tt2431286,3187,4896,1143,46,19
tt2316411,573,2392,2351,394,81
tt1702439,255,938,1880,407,57
tt2388715,57,324,441,144,34
tt2692904,
tt0453562,1802,4541,2240,131,26
tt1559547,95,382,1155,718,216
tt2132285,3475,11970,21237,7916,3668
tt1235522,61,353,1825,877,116
tt0882977,172,782,2564,968,168
tt1450321,2255,4746,2829,359,51
tt1322269,3882,7280,3105,322,59
tt0790628,178,861,2724,885,164
tt1711425,288,988,2813,1187,266
tt1860353,2876,9707,10090,1150,144
tt2017038,1119,2970,1896,265,70
tt2101341,79,431,1552,589,76
tt2387433,
tt2002718,355,807,2488,1456,536
tt2387559,75,380,673,91,14
tt2364841,52,237,1743,1414,252
tt1714915,
tt1893256,
tt0795461,361,949,3543,2892,1292
tt2390361,480,2065,1429,107,21
tt2051879,733,2192,2700,669,135
tt1321511,300,1025,2096,725,146
tt2334649,506,1855,1281,121,15
tt2265398,56,244,542,202,41
tt1661382,207,698,899,120,16
tt2005374,
tt2370248,579,1339,692,70,13
tt1869716,
tt2610768,
tt1528071,185,91,46,17,47
tt2199711,
tt1931435,137,642,2393,832,132
tt1486834,236,150,47,18,45
tt1572315,166,516,2207,1421,421
tt1691917,213,844,2206,530,74
tt1160996,
tt2243537,123,305,782,542,205
tt2112124,36,106,240,58,14
tt2170299,69,233,334,48,8
tt2382396,
tt2359024,
tt1767354,
tt2866360,
tt1426329,
tt1814621,54,277,1236,451,64
tt1825157,
tt1967545,685,1659,1075,84,7
tt1758795,16,62,278,233,70
tt2333804,
tt1480295,132,654,1827,529,77
tt1709143,
tt2016940,
tt2017020,970,3572,8025,1808,338
tt1837703,245,942,1964,434,66
tt1684233,146,543,2368,969,150
tt2718492,
tt2450186,184,576,853,226,57
tt2294677,
tt0469021,
tt2058107,63,219,555,157,20
tt2317225,
tt1311071,1185,3876,3192,337,61
tt2230358,
tt2567712,
tt2094018,363,788,1171,221,28
tt2101473,
tt2178470,266,560,429,75,13
tt0765446,259,1023,2001,371,52
tt2071550,
tt2304771,83,320,533,79,15
tt2167202,19,87,292,359,110
tt1894476,68,128,350,193,32
tt1196948,194,490,1021,391,54
tt2084989,118,318,613,257,113
tt2402105,
tt2359810,
tt2172985,
tt1621039,198,826,2641,1053,232
tt2258345,22,51,64,9,1
tt1951181,
tt2218003,32,199,671,208,18
tt1545660,4,17,66,76,59
tt1659338,
tt2537176,
tt1029231,18,29,176,65,24
tt2195548,192,793,621,80,22
tt2388637,69,322,728,198,30
tt2343793,
tt2263944,1279,1983,2292,482,142
tt2479800,4,23,24,4,1
tt2404181,
tt1758595,1112,2142,3454,1367,1039
tt2167266,
tt2171867,
tt2309961,
tt2309021,7,49,201,169,48
tt2987732,
tt2403029,156,357,1300,989,441
tt1985019,
tt2172935,119,215,188,44,15
tt2991224,
tt1457765,50,207,856,457,98
tt1747958,
tt2083355,15,42,151,63,10
tt1911662,
tt2345112,
tt2345567,
tt2309224,
tt2265534,38,170,430,141,24
tt1966566,
tt2039345,
tt2389182,
tt0804463,
tt1654523,
tt2070862,20,71,98,32,7
tt1821641,
tt2004432,
tt1067765,
tt1705952,
tt2215477,
tt2249221,
tt1375789,37,134,217,48,14
tt2438644,
tt1311060,4,20,56,19,1
tt1954315,
tt2406252,
tt1663207,119,59,22,6,45
tt2224317,10,25,46,21,3
tt2193265,
tt1545754,
tt0762138,
tt1879032,
tt2383068,
tt1999987,
tt2319580,178,263,71,11,14
tt1937118,
tt1981107,
tt2292959,9,36,178,373,182
tt2436516,14,44,138,67,23
tt1741243,
tt2043933,
tt2055765,55,282,858,173,11
tt2304426,
tt2852406,
tt2281159,
tt2012011,77,362,402,103,27
tt1540741,
tt2458106,
tt2318527,2,8,19,48,65
tt1929308,
tt1931602,
tt2193418,13,30,189,269,172
tt2668134,
tt2286990,
tt2312890,3,26,88,30,5
tt2511428,
tt1171222,3,8,49,25,8
tt2187884,10,20,31,22,18
tt1976989,5,13,64,37,9
tt2429074,19,60,180,39,8
tt2234429,
tt2268458,
tt2093270,
tt1925435,
tt1196956,
tt2332579,
tt2364975,
tt1838520,
tt1700845,
tt1913166,316,533,1155,975,699
tt2806788,920,1988,937,177,185
tt2375574,
tt1551630,
tt2524674,
tt2427892,
tt2140577,223,526,454,93,74
tt2495118,
tt1697064,
tt2425486,
tt2882328,
tt2106537,736,1177,1189,503,557
tt2386278,
tt1657510,3,22,66,12,2
tt2395385,11,35,87,61,8
tt2165859,
tt1821426,
tt1483324,
