tt2193215,3959,11396,20545,10647,6955
tt2357129,6423,15531,21375,5581,3685
tt0816442,18381,25838,6565,1050,630
tt2042568,13229,28130,8470,1464,993
tt1583421,3072,13434,27441,6821,1302
tt0882977,5801,22702,18102,2400,950
tt1235522,2994,18361,23949,3542,1098
tt0453562,14441,27942,5836,643,593
tt2334873,8932,26505,12233,728,146
tt1559547,8755,16252,15624,5030,2709
tt1588173,6819,19926,18282,2853,484
tt0790628,3720,14543,22564,5460,2029
tt2132285,3475,11970,21237,7916,3668
tt2312718,6467,21825,16119,2282,808
tt1702439,11431,19051,12324,2775,1411
tt1206543,5912,24627,13175,2002,885
tt2024544,7904,23478,14087,930,139
tt1714206,9879,25323,8951,1438,788
tt2013293,11423,19130,13533,1468,321
tt2278871,18992,19810,4271,954,1363
tt2431286,11640,27946,4087,489,355
tt1711425,5151,12832,18427,5461,2531
tt1210819,5492,16915,17926,3032,615
tt2101341,4418,20399,15549,2166,823
tt1535108,1729,8687,24635,7088,1080
tt2278871,15487,17781,6801,696,205
tt1860353,5996,17173,14318,2284,1061
tt1322269,9430,22098,6759,1255,890
tt1457767,5891,18616,13196,1335,236
tt2002718,4022,10092,14911,5577,3339
tt1450321,7883,20048,7466,1478,985
tt1606378,1754,7947,20634,5970,1007
tt2364841,2108,8989,18791,5216,1850
tt0795461,3616,2472,7047,10515,13245
tt1985966,5571,14917,12865,2309,1026
tt1924396,12794,20141,2961,402,292
tt2017038,5162,18395,9088,2108,1600
tt0359950,12137,16340,6920,688,109
tt2404311,3798,13997,15805,2206,362
tt1815862,1141,4636,16867,10092,2960
tt2387559,3892,14647,12769,1980,854
tt2302755,1613,7965,18417,4604,1008
tt1623205,1909,8005,17449,5191,938
tt2051879,3885,14877,10859,2491,1063
tt1853739,4325,13982,9982,2699,1528
tt1650554,2036,7369,16579,5332,1034
tt1821694,3354,12449,14255,1935,290
tt2390361,4100,19520,6780,757,378
tt2265398,2475,11656,12126,3415,1661
tt1535109,8673,16751,5542,282,63
tt1308729,3156,7749,14966,4030,1375
tt1800241,2240,9489,15369,3422,622
tt2334649,8196,17134,4021,680,928
tt1951261,1908,7096,16130,4085,596
tt1979320,15297,11379,2177,145,58
tt2205697,7865,15556,4511,607,376
tt1392214,6106,15977,5877,456,114
tt1321511,2983,8380,9687,3579,3778
tt1245492,3133,9479,10550,2758,884
tt1572315,2890,4067,9125,6181,4496
tt1931435,2504,6606,11668,3943,1918
tt0092099,4335,12820,8644,529,79
tt1661382,3449,11846,8977,1422,605
tt2243537,4246,4830,7779,4856,3712
tt1682180,3980,11184,8413,1335,302
tt2347569,6112,13895,3742,698,499
tt1723121,3411,11272,9022,915,99
tt2053463,2521,13190,8100,587,49
tt2316411,4298,10829,5666,1705,1513
tt1860353,2876,9707,10090,1150,144
tt1691917,2681,6104,10413,3016,1700
tt2229499,1137,5329,13310,3458,426
tt2042568,6038,11634,5129,443,70
tt2112124,9496,4027,3478,1762,4142
tt2370248,9560,11138,1647,252,274
tt1549920,1909,8248,10862,1454,227
tt1213663,3847,9313,7829,1237,247
tt2244901,1627,6487,9697,3054,1404
tt1351685,815,4405,12773,3480,551
tt1783732,3545,9168,6214,1882,1072
tt1821700,19841,651,195,87,912
tt1833673,7171,3939,3853,2141,4281
tt1814621,1177,5584,10932,2803,877
tt2388715,3599,8957,5797,1549,1046
tt0790736,581,3288,11650,3970,561
tt2356180,13963,4381,820,200,680
tt1480295,1411,4254,8905,3220,2067
tt1684233,1412,6962,8962,1726,529
tt2515086,7969,1077,861,489,9202
tt2017020,3031,3990,7367,2705,2091
tt2724064,2640,1134,2120,3923,8776
tt1758795,1846,5318,7681,2437,1182
tt1413495,1620,4751,8360,2560,1105
tt2357129,922,3281,8762,3866,905
tt1462900,2834,7085,5511,1382,665
tt1904996,850,3747,10166,2290,295
tt1837703,1974,5938,6461,1350,1130
tt1939659,607,2331,8915,3907,640
tt2450186,2001,5663,5305,1920,1367
tt0848537,2319,6528,5852,599,77
tt0765446,2003,4250,6620,1605,795
tt1821549,6168,7226,1587,121,30
tt1441395,3631,5492,2881,1351,1666
tt3165608,2964,148,133,104,11487
tt1731697,1622,2964,4365,3244,2566
tt2017020,970,3572,8025,1808,338
tt2377938,6109,6768,1143,278,381
tt1322269,3882,7280,3105,322,59
tt1595656,2269,4333,4186,2020,1815
tt2184339,518,1912,6254,4170,1538
tt1924396,4457,7414,2214,171,29
tt1091191,3393,7152,3182,267,70
tt1327773,1897,6057,5551,506,56
tt1967545,2609,7032,3173,577,343
tt2094018,3329,4598,4243,982,491
tt2178470,3701,4921,2861,854,1207
tt2013293,5550,6073,1314,215,241
tt2226417,2682,6240,3676,419,78
tt2084989,3136,5201,2692,1111,954
