Name,Year,imdb ID,Allo ID,imdb 10,imdb 9,imdb 8,imdb 7,imdb 6,imdb 5,imdb 4,imdb 3,imdb 2,imdb 1,douban 5,douban 4,douban 3,douban 2,douban 1,frNumVot,frRat,fr 5,fr 4,fr 3,fr 2,fr 1,fr 0,esNumVot,esRat,es 5,es 4,es 3,es 2,es 1,es 0,ptNumVot,ptRat,pt 5,pt 4,pt 3,pt 2,pt 1,pt 0,deNumVot,deRat,de 5,de 4,de 3,de 2,de 1,de 0,trNumVot,trRat,tr 5,tr 4,tr 3,tr 2,tr 1,tr 0
Matru ki Bijlee ka Mandola,2013,tt2106537,216663,24,24,20,42,48,31,26,11,12,29,736,1177,1189,503,557,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haunt,2013,tt2386278,216770,44,26,67,131,183,198,127,81,29,38,,,,,,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,54,3.1,0,1,2,4,0,3,10,3.1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Gimme Shelter,2013,tt1657510,193548,210,84,180,253,196,117,66,42,20,57,3,22,66,12,2,91,3.4,2,7,5,10,2,0,4,3.2,0,0,0,0,0,0,15,3.6,1,1,0,0,0,0,4,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2013,tt2395385,223482,60,28,100,187,255,174,84,46,37,42,11,35,87,61,8,14,2.7,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,2.9,0,0,0,1,1,0,5,2.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
In Fear,2013,tt2165859,217680,35,14,75,146,184,169,87,64,34,44,,,,,,29,2.7,1,0,1,1,0,2,5,3.1,0,0,0,0,0,0,10,2.8,0,0,1,1,0,0,11,3,0,0,2,0,0,0,11,2.8,0,0,0,1,1,2
Family Weekend,2013,tt1821426,219125,87,57,145,202,144,70,42,24,15,25,,,,,,43,3.1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,9,3.2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
At Middleton,2013,tt1483324,216462,78,59,150,220,155,95,51,32,28,34,,,,,,55,3,1,0,3,2,3,0,4,3,0,0,1,0,0,0,29,3.7,4,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bounty Killer,2013,tt2369396,44436,84,41,78,143,131,139,60,38,24,47,,,,,,132,2.8,0,10,7,4,8,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0
Legends of Oz: Dorothy's Return,2013,tt0884726,182810,149,30,46,68,95,84,55,43,53,117,,,,,,14,2.7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0
Grzeli nateli dgeebi,2013,tt2741806,218219,26,20,37,37,14,7,8,2,2,26,,,,,,44,3.7,1,3,4,3,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,3,3.1,1,0,0,0,0,0
Hatchet III,2013,tt1870419,219899,105,66,129,231,283,202,103,40,36,41,,,,,,62,2.6,1,5,7,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thalaivaa,2013,tt2617676,222891,33,1,3,6,6,15,1,1,1,9,2024,460,292,175,701,25,3.5,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Look of Love,2013,tt1951216,203726,16,13,32,83,107,65,27,16,10,16,36,210,578,137,17,241,2.6,3,9,20,21,6,1,6,3.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,3.2,0,2,2,0,0,0,5,3.2,0,0,0,0,0,0
20 ans d'écart,2013,tt2186812,209732,11,7,17,37,22,15,4,0,4,5,,,,,,6986,3.8,90,407,372,122,36,19,23,3.4,0,2,1,0,0,0,12,3.3,0,1,0,0,0,0,6,3.1,0,0,0,0,0,0,12,3.3,0,0,1,1,0,0
Willow Creek,2013,tt2885364,222424,40,28,87,196,204,174,125,88,64,70,,,,,,0,0,0,0,0,0,0,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Il capitale umano,2013,tt2465578,222951,21,19,49,52,14,10,3,2,3,5,,,,,,237,3.7,3,25,21,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.2,0,0,0,0,0,0,4,3.1,0,0,1,0,0,0
CBGB,2013,tt1786751,207569,91,74,173,253,209,130,71,32,25,49,,,,,,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,3.6,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
